ID,Categoria,Nombre_ES,Nombre_EN
1,Entrantes,Coca de pimientos,Pepper flatbread
2,Entrantes,Coca de pimientos con cerdo,Pepper flatbread with pork
3,Entrantes,Jalapeños rellenos de queso,Cheese stuffed peppers
4,Verduras,Calabacín,Zucchini
5,Verduras,Berenjena,Eggplant
6,Verduras,Zanahoria,Carrot
7,Verduras,Verduras a la plancha,Grilled vegetables
8,Verduras,Patatas asadas,Roasted potatoes
9,Verduras,Brócoli,Broccoli
10,Pescados,Caella a la plancha,Grilled caella fish
11,Carnes,Estofado de cerdo,Pork stew
12,Arroces y Pastas,Noodles con verdura,Noodles with vegetables
13,Arroces y Pastas,Arroz con verdura,Rice with vegetables
14,Salsas,Salsa Alfredo,Alfredo sauce
15,Postres,Tarta de Oreo,Oreo cake
16,Postres,Vasito de flan,Flan cup
17,Postres,Tarta de mango,Mango tart
18,Postres,Tarta de limón,Lemon pie
19,Postres,Tartaleta de maracuyá,Passion fruit tart
20,Postres,Tarta de chai y caramelo,Chai and caramel cake
21,Postres,Tartaleta de chocolate,Chocolate tart
22,Postres,Vasito de frambuesa y fruta de pasión,Raspberry and passion fruit cup
23,Postres,Palos de crema,Cream filled pastries
24,Postres,Pantxineta,Panxineta
25,Postres,Vasito de yogur nueces y miel,"Yogurt, walnut and honey dessert cup"
26,Postres,Coco con chocolate blanco,Coconut with white chocolate
27,Postres,Tarta de frutos rojos,Mixed berry cake
28,Postres,Tarta de zanahoria,Carrot cake
29,Postres,Frutos secos,Mixed nuts
30,Bebidas,Smoothie de piña,Pineapple smoothie
